datetime,aapl,ibm,xom,intc,aa,cash,commission,total,returns,equity_curve
2000-01-03,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,,
2000-01-03,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-04,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-05,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-06,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-07,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-10,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-11,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-12,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-13,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-14,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-18,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-19,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-20,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-21,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-24,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-25,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
2000-01-27,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,1.0
